Date,Time,milisecond,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,
2019-5-15,13h0m11s,479ms,27.3815,29.1847,1.31685,1372,2.17441,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m11s,666ms,27.3815,29.1847,1.31685,1372,2.17441,400,0.00315862,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m11s,853ms,27.3815,29.1847,1.31685,1372,2.17441,400,0.00315862,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m12s,40ms,27.3815,29.1847,1.31685,1372,2.17441,400,0.00315862,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m12s,227ms,27.3815,29.1847,1.32296,1372,2.17441,400,0.00315862,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m12s,415ms,27.3815,29.1847,1.32296,1372,2.08286,400,0.00315862,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m12s,602ms,27.3815,29.1847,1.32296,1372,2.08286,400,0.00340276,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m12s,789ms,27.3815,29.1847,1.32296,1372,2.08286,400,0.00340276,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m12s,976ms,27.3815,29.1847,1.32296,1372,2.08286,400,0.00340276,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m13s,163ms,27.3815,29.0986,1.31991,1372,2.08286,400,0.00340276,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m13s,351ms,27.3815,29.0986,1.31991,1372,2.17441,400,0.00340276,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m13s,538ms,27.3815,29.0986,1.31991,1372,2.17441,400,0.00321965,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m13s,725ms,27.3815,29.0986,1.31991,1372,2.17441,400,0.00321965,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m13s,912ms,27.3815,29.0986,1.31991,1372,2.17441,400,0.00321965,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m14s,99ms,27.3815,29.0986,1.31991,1372,2.17441,400,0.00321965,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m14s,287ms,27.3815,29.0986,1.3138,1372,2.05234,400,0.00321965,1000,0.00438697,1768,20,1820,
